Area,Neighborhood
267800,West Los Angeles
407801,Valinda
408401,Hacienda Heights
238200,Vermont Knolls
134520,Canoga Park
192410,Larchmont
120108,Panorama City
297601,San Pedro
115404,Northridge
134306,Canoga Park
139402,Tarzana
403325,Diamond Bar
211410,Koreatown
461200,Altadena
291130,Harbor Gateway
602200,Del Aire
125600,Toluca Lake
554403,Bellflower
542800,Compton
670002,Lomita
117407,North Hills
910709,Southeast Antelope Valley
201200,El Sereno
297602,San Pedro
143902,Sherman Oaks
234902,Hyde Park
204110,Boyle Heights
542700,Compton
214502,Mid-Wilshire
211703,Koreatown
910706,Palmdale
401312,San Dimas
542105,Compton
132502,Reseda
103300,Shadow Hills
190801,Hollywood
106604,Sylmar
461300,Altadena
221900,University Park
121600,Sun Valley
503103,South Whittier
229100,Central-Alameda
242300,Watts
106111,Sylmar
241002,Green Meadows
910301,Quartz Hill
543905,Carson
183103,Highland Park
500404,Pico Rivera
460600,La Canada Flintridge
237600,Vermont-Slauson
239330,Florence
143300,Studio City
221401,Jefferson Park
124902,Valley Village
543202,Compton
239601,Florence
554600,Norwalk
104105,Pacoima
238100,Manchester Square
901009,Lancaster
191204,East Hollywood
195720,Echo Park
204820,Boyle Heights
503000,South Whittier
220100,Baldwin Hills/Crenshaw
132900,Encino
980008,Van Nuys
212420,Koreatown
542200,Compton
221820,University Park
218220,Mid-City
189300,Los Feliz
224320,Pico-Union
139200,Encino
900704,Lancaster
920200,Castaic Canyons
502601,Pico Rivera
123206,North Hollywood
189903,Hollywood
128910,Sherman Oaks
481300,Rosemead
920119,Castaic
504001,La Mirada
571400,Lakewood
238000,Gramercy Park
106603,Granada Hills
432201,Rosemead
500600,Pico Rivera
183104,Highland Park
531102,East Los Angeles
571101,Lakewood
531603,East Los Angeles
554101,Bellflower
139001,Encino
217200,Mid-Wilshire
700200,West Hollywood
531504,East Los Angeles
531604,East Los Angeles
980019,Pacific Palisades
275500,Del Rey
241201,Vermont Vista
910404,Palmdale
241110,Broadway-Manchester
296401,San Pedro
403801,Charter Oak
106645,Granada Hills
199120,Lincoln Heights
272301,Mar Vista
115101,Northridge
296300,San Pedro
900508,Lancaster
910209,Palmdale
218210,Mid-City
275302,Del Rey
239320,Florence
237500,Vermont-Slauson
108201,Porter Ranch
119342,Panorama City
604001,Lawndale
192420,Larchmont
127806,Van Nuys
571102,Lakewood
552700,Norwalk
139301,Tarzana
135203,West Hills
117102,North Hills
272302,Mar Vista
267502,Sawtelle
134904,Winnetka
481201,Temple City
191820,Hollywood
203720,Boyle Heights
241120,Broadway-Manchester
920026,Castaic Canyons
430102,Duarte
461000,Altadena
550201,Norwalk
277400,Westchester
543604,Carson
121102,Sun Valley
117510,North Hills
226420,Historic South-Central
239602,Florence
221220,Pico-Union
277200,Westchester
553702,Paramount
910716,Palmdale
405400,Vincent
235202,Hyde Park
300501,La Crescenta-Montrose
273100,Venice
920118,Castaic
212304,Koreatown
482402,South San Gabriel
273402,Venice
139302,Tarzana
101110,Tujunga
920041,Santa Clarita
122200,Sun Valley
910606,Palmdale
189201,Los Feliz
203300,Boyle Heights
542401,Compton
123901,North Hollywood
127711,Van Nuys
554522,Cerritos
125310,North Hollywood
430101,Duarte
554001,Bellflower
500402,Pico Rivera
121020,Sun Valley
239202,Florence
139503,Encino
204910,Boyle Heights
408625,Hacienda Heights
702901,Marina del Rey
502402,Pico Rivera
115401,Northridge
577501,Long Beach
701100,Veterans Administration
109601,Mission Hills
241001,Green Meadows
910002,Northeast Antelope Valley
555103,Lakewood
531301,East Los Angeles
980021,Hansen Dam
123303,Valley Glen
570901,Lakewood
269904,Palms
102107,Shadow Hills
203800,Boyle Heights
186202,Glassell Park
406000,Covina
555212,Hawaiian Gardens
187300,Silver Lake
189905,Hollywood
191203,East Hollywood
141201,Sherman Oaks
271701,Palms
211202,Koreatown
231710,Vermont Square
186403,Glassell Park
128302,Van Nuys
231210,Exposition Park
407602,La Puente
